Scattered successful lookup:
absl::flat_hash_set;foa_unordered_rc16_set;foa_unordered_rc15_set
63216;0.190965;0.208644;0.202907
66358;0.192063;0.209851;0.203601
69657;0.193852;0.211569;0.204186
73120;0.196111;0.213728;0.204866
76756;0.199696;0.217332;0.206
80573;0.203069;0.222342;0.207414
84580;0.208519;0.228644;0.209738
88787;0.216522;0.238211;0.212412
93204;0.227781;0.251157;0.21615
97841;0.247077;0.269146;0.222775
102709;0.274788;0.299229;0.234078
107820;0.317283;0.339558;0.203364
113186;0.386722;0.409064;0.203994
118820;0.193045;0.210194;0.204406
124735;0.193917;0.211416;0.204934
130945;0.195728;0.212542;0.205384
137465;0.19718;0.214697;0.206101
144311;0.199225;0.217023;0.20699
151499;0.202041;0.220639;0.208058
159046;0.205697;0.225427;0.209278
166970;0.211041;0.231475;0.211143
175290;0.2192;0.239765;0.213566
184026;0.230083;0.251809;0.2174
193198;0.247266;0.268986;0.224209
202828;0.272415;0.29546;0.235212
212939;0.310106;0.335949;0.253544
223555;0.373141;0.39863;0.20678
234701;0.197641;0.21434;0.207166
246404;0.198706;0.215449;0.207596
258692;0.200796;0.21668;0.208379
271594;0.201576;0.218408;0.208995
285141;0.203773;0.221286;0.209684
299365;0.206612;0.224937;0.210956
314300;0.210212;0.229071;0.212394
329981;0.215402;0.235271;0.21439
346446;0.222399;0.244307;0.217038
363734;0.233204;0.255993;0.221393
381886;0.248565;0.273705;0.22753
400945;0.271754;0.299264;0.23777
420956;0.306558;0.337122;0.254966
441967;0.364725;0.395786;0.213305
464028;0.196167;0.223554;0.213995
487192;0.197947;0.229988;0.214392
511514;0.199002;0.22901;0.215033
537052;0.200286;0.227041;0.215595
563866;0.202432;0.230292;0.216358
592020;0.204907;0.231781;0.219785
621581;0.212871;0.238955;0.219945
652620;0.217272;0.255748;0.222063
685210;0.238404;0.255121;0.224104
719429;0.237167;0.267457;0.230617
755358;0.249676;0.281794;0.24467
793083;0.282513;0.325261;0.251639
832694;0.319626;0.354583;0.266723
874285;0.379624;0.41249;0.24393
917955;0.255307;0.267108;0.248163
963808;0.251994;0.266586;0.2491
1011953;0.258714;0.272685;0.251739
1062505;0.262679;0.277141;0.254506
1115584;0.267054;0.275202;0.253828
1171316;0.270707;0.284259;0.25814
1229834;0.271922;0.290998;0.262626
1291277;0.283291;0.298739;0.265691
1355792;0.292534;0.313155;0.269227
1423532;0.298945;0.320867;0.273181
1494659;0.314883;0.33551;0.27749
1569342;0.336983;0.370153;0.291943
1647759;0.37589;0.399389;0.307112
1730096;0.424805;0.459729;0.258442
1816549;0.507111;0.54034;0.259293
1907324;0.271258;0.280452;0.260237
2002637;0.269964;0.284456;0.262642
2102715;0.276012;0.283302;0.261768
2207796;0.278844;0.294054;0.267679
2318131;0.283211;0.294917;0.268061
2433982;0.287911;0.30204;0.270124
2555625;0.288615;0.311059;0.27495
2683350;0.300425;0.319892;0.273491
2817461;0.310779;0.338698;0.287579
2958277;0.32215;0.349151;0.288804
3106133;0.344305;0.374887;0.300134
3261381;0.374872;0.421202;0.315743
3424391;0.422057;0.464575;0.342017
3595551;0.508857;0.555356;0.262342
3775269;0.285893;0.300273;0.2694
3963972;0.277012;0.284965;0.267177
4162110;0.291108;0.294867;0.264144
4370154;0.286217;0.3007;0.267372
4588600;0.284426;0.316485;0.271527
4817968;0.286821;0.296479;0.268996
5058804;0.291536;0.303982;0.275771
5311681;0.307562;0.323387;0.278416
5577201;0.315183;0.349924;0.280517
5855997;0.323932;0.349729;0.287286
